How can I search for a word within my own webpage ?,abbreviation
What crop failure caused the Irish Famine ?,entity
"What do the letters CE stand for on so many products , particularly electrical , purchased now ?",description
Who portrayed `` the man without a face '' in the movie of the same name ?,human
Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,location
In what year was Gandhi assassinated ?,number
Why do oceans contain salt water instead of fresh water ?,abbreviation
What is the organizational structure of the New Delhi Indira Gandhi airport ?,entity
What does BUD stand for ?,description
What store does Martha Stewart advertise for ?,human
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,location
What was the minimum wage in 1991 ?,number
How did Lee Harvey Oswald purchase his rifle ?,abbreviation
What color was the hundred billionth crayon made by Crayola ?,entity
What is DSL ?,description
Who was known as the Time Master in comic books ?,human
Where did the world come from ?,location
When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities ?,number
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,abbreviation
What did Tristan come back as ?,entity
What is the abbreviation for micro ?,description
Who was the founding member of the Pink Floyd band ?,human
Where is Santa Lucia ?,location
When was child labor abolished ?,number
How do you make a paintball ?,abbreviation
What gender is not allowed to vote in Kuwait ?,entity
What is RAM in the computer ?,description
What level of government or governmental agency is responsible for dealing with racism ?,human
What state in the U.S. has the most blacks ?,location
How many people have died of tuberculosis ?,number
What is a green bog ?,abbreviation
What soft drink is most heavily caffeinated ?,entity
What does the channel ESPN stand for ?,description
What organization 's offices were broken into at Watergate in 1972 ?,human
What country offered Albert Einstein its presidency in 1952 ?,location
At what age did Rossini stop writing opera ?,number
What is the origin of the term soda jerk ?,abbreviation
What sports magazine has the largest circulation ?,entity
What is Mikhail Gorbachev 's middle initial ?,description
What is the name of Miss India 1994 ?,human
What country contains Africa 's northernmost point ?,location
How many Russians have landed on the moon ?,number
What is D.B. Cooper known for ?,abbreviation
What is a fear of sinning ?,entity
What does BTU mean ?,description
Name the university of which Woodrow Wilson was president .,human
Where can I find lyrics for R&B ?,location
"What 's the population of Biloxi , Mississippi ?",number
How does an abacus work ?,abbreviation
What kind of patent did Ermal Fraze get in 1963 ?,entity
What is LMDS ?,description
"Who delivered his last newscast on March 6 , 1981 ?",human
What 's the largest island in the West Indies ?,location
