"at once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",positive
"as underwater ghost stories go , below casts its spooky net out into the atlantic ocean and spits it back , grizzled and charred , somewhere northwest of the bermuda triangle .",negative
you ' ll probably love it .,positive
an occasionally interesting but mostly repetitive look at a slice of counterculture that might be best forgotten .,negative
psychologically savvy .,positive
"muddled , simplistic and more than a little pretentious .",negative
"miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",positive
how can such a cold movie claim to express warmth and longing ?,negative
adaptation is intricately constructed and in a strange way nails all of orlean ' s themes without being a true adaptation of her book .,positive
"wince - inducing dialogue , thrift - shop costumes , prosthetic makeup by silly putty and kmart blue - light - special effects all conspire to test trekkie loyalty .",negative
"earnest , unsubtle and hollywood - predictable , green dragon is still a deeply moving effort to put a human face on the travail of thousands of vietnamese .",positive
putting the primitive murderer inside a high - tech space station unleashes a pandora ' s box of special effects that run the gamut from cheesy to cheesier to cheesiest .,negative
an older cad instructs a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy .,positive
"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab .",negative
this is n ' t a stand up and cheer flick ; it ' s a sit down and ponder affair .,positive
much of the cast is stiff or just plain bad .,negative
"the bourne identity should n ' t be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom - bam crowd without a huge sacrifice of character and mood .",positive
"it ' s all arty and jazzy and people sit and stare and turn away from one another instead of talking and it ' s all about the silences and if you ' re into that , have at it .",negative
able to provide insight into a fascinating part of theater history .,positive
a mechanical action - comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences .,negative
"if you love him , you ' ll like it .",positive
"other than a mildly engaging central romance , hospital is sickly entertainment at best and mind - destroying cinematic pollution at worst .",negative
"a taut , sobering film .",positive
"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n ' t fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary ' s failure to construct a story with even a trace of dramatic interest .",negative
a bold - lrb - and lovely - rrb - experiment that will almost certainly bore most audiences into their own brightly colored dreams .,positive
adam sandler ' s eight crazy nights grows on you - - like a rash .,negative
. . . takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,positive
"they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness .",negative
"even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .",positive
indifferently implausible popcorn programmer of a movie .,negative
waydowntown manages to nail the spirit - crushing ennui of denuded urban living without giving in to it .,positive
has all the depth of a wading pool .,negative
but darned if it does n ' t also keep us riveted to our seats .,positive
the fact that the ` best part ' of the movie comes from a 60 - second homage to one of demme ' s good films does n ' t bode well for the rest of it .,negative
"an elegant work , food of love is as consistently engaging as it is revealing .",positive
a sustained fest of self - congratulation between actor and director that leaves scant place for the viewer .,negative
writer \ / director m . night shyamalan ' s ability to pull together easily accessible stories that resonate with profundity is undeniable .,positive
"if you saw it on tv , you ' d probably turn it off , convinced that you had already seen that movie .",negative
throws in enough clever and unexpected twists to make the formula feel fresh .,positive
"in any case , i would recommend big bad love only to winger fans who have missed her since 1995 ' s forget paris .",negative
"the year ' s greatest adventure , and jackson ' s limited but enthusiastic adaptation has made literature literal without killing its soul - - a feat any thinking person is bound to appreciate .",positive
epps has neither the charisma nor the natural affability that has made tucker a star .,negative
"hollywood ending is not show - stoppingly hilarious , but scathingly witty nonetheless .",positive
plotless collection of moronic stunts is by far the worst movie of the year .,negative
"in a summer of clones , harvard man is something rare and riveting : a wild ride that relies on more than special effects .",positive
"the movie is genial but never inspired , and little about it will stay with you .",negative
"for the most part , it ' s a work of incendiary genius , steering clear of knee - jerk reactions and quick solutions .",positive
it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them .,negative
"entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .",positive
"i ' ve had more interesting - - and , dare i say , thematically complex - - bowel movements than this long - on - the - shelf , point - and - shoot exercise in gimmicky crime drama .",negative
the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman ' s posthumously published cult novel .,positive
to get at the root psychology of this film would require many sessions on the couch of dr . freud .,negative
for the most part stevens glides through on some solid performances and witty dialogue .,positive
a movie that ' s held captive by mediocrity .,negative
the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife .,positive
"- lrb - n - rrb - o matter how much good will the actors generate , showtime eventually folds under its own thinness .",negative
"lovely and amazing is holofcener ' s deep , uncompromising curtsy to women she knows , and very likely is .",positive
even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie lacks both thrills and humor .,negative
"based on dave barry ' s popular book of the same name , the movie benefits from having a real writer plot out all of the characters ' moves and overlapping story .",positive
"whether this is art imitating life or life imitating art , it ' s an unhappy situation all around .",negative
it ' s a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor .,positive
constantly slips from the grasp of its maker .,negative
"it ' s a testament to de niro and director michael caton - jones that by movie ' s end , we accept the characters and the film , flaws and all .",positive
the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .,negative
