What is the poetic meter of blank verse ?,abbreviation
What car was driven in the 199 release of `` Smokey and the Bandit '' ?,entity
What does U.S.S.R. stand for ?,description
Who invented batteries ?,human
What U.S. city was named for St. Francis of Assisi ?,location
How many chairs are shown in Vincent Van Gogh 's 188 work The Artist 's Room in Arles ?,number
Why are the ears your center of balance ?,abbreviation
What card game can feature dealer 's choice ?,entity
What does the acronym CPR mean ?,description
What is Larry King 's occupation ?,human
What continent 's name appears on the upper left corner of a Budweiser label ?,location
The Shea & Gould law firm had an office in L.A. for how many years ?,number
What is ethology ?,abbreviation
What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?,entity
What is the acronym for the rating system for air conditioner efficiency ?,description
Who is Desmond Tutu ?,human
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,location
When was Richard Nixon born ?,number
What is thermal equilibrium ?,abbreviation
What are the most common elements in the Earth 's crust ?,entity
What does snafu stand for ?,description
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",human
What building are British monarchs crowned in ?,location
How many rows of sprocket holes does a roll of 35-millimeter film have ?,number
"How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?",abbreviation
What are different products of petroleum ?,entity
What does IOC stand for ?,description
"Name the company that used the line , `` Even your best friend won 't tell you '' in its ad ?",human
Where did cable cars first roll down Clay Street in 1873 ?,location
When did Theo Rousseau paint the `` Forest of Fontaine '' ?,number
How does an abacus work ?,abbreviation
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?,entity
What does A&W of root beer fame stand for ?,description
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,human
Where 's the Bernini-Bristol Hotel ?,location
When did Nixon visit China ?,number
What is a leaky heart valve ?,abbreviation
What chemical in red wine is good for the heart and what exactly does it do to your body ?,entity
What does RCA stand for ?,description
What Honeymooners actress did Television magazine name as 1953 's most promising star ?,human
What 's the longest river in the world ?,location
"What month , date , and year did Charles I die ?",number
What is proposition 98 about ?,abbreviation
What do penguins eat ?,entity
What does CPR stand for ?,description
What detective lives on Punchbowl Hill and has 11 children ?,human
Where is the world championship sled dog race held each February ?,location
How much snow equals an inch of rain ?,number
What is the difference between pop music and rock and roll ?,abbreviation
What is the name of the disease that actress Hunter Tylo 's baby girl has ?,entity
