text,label
How long is human gestation ?,number
Who is known as `` the world 's oldest teenager '' ?,human
What is George Lucas 's e-mail address ?,location
What are Cushman and Wakefield known for ?,abbreviation
How many states did Richard Nixon carry in 1972 ?,number
How does the tail affect the flight of a kite ?,abbreviation
What country was Brian Boru an 11th-century king of ?,location
What is a `` False Moon '' ?,abbreviation
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?,entity
How many words are there in the Spanish language ?,number
What is the spectrum of a sine wave ?,abbreviation
What animal has killed the most people ?,entity
How did names come about ?,abbreviation
Where do hyenas live ?,location
Where did the ukulele originate ?,location
What state was Herbert Hoover born in ?,location
Whose image is alleged to be on The Shroud of Turin ?,human
Name the French historical period during the reign of Napoleon III .,entity
How long does cocaine stay in your system ?,number
Where did the sport of caber-tossing originate ?,location
What stadium do the Miami Dolphins play their home games in ?,location
"What happened on January 15 , 1969 ?",entity
What is a fear of drinking ?,entity
What is a wop ?,abbreviation
What is lung cancer ?,abbreviation
Where can I find a lesson plan for teaching the metric system conversion to American standard ?,location
What 's the common name for acetylsalicylic acid ?,entity
What instrument is Ray Charles best known for playing ?,entity
What does NN O `` mean when used as a prefix in Irish surnames ?,description
What is humidity ?,abbreviation
What golfing accessory was patented by George Grant on December 12,entity
"Why do some jets have a vapor trail , and others do not ?",abbreviation
What is the Kashmir issue ?,abbreviation
How fast can a Corvette go ?,number
"Whom does Uncle Duke 's girl friend , Honey , room with ?",human
Where is Los Vegas ?,location
What is time ?,abbreviation
What organic fuel do bog-dwellers use a `` slane '' to cut ?,entity
What country did the ancient Romans refer to as Hibernia ?,location
In what religion was Isis the nature goddess ?,entity
Who is the sexiest women in the world ?,human
How do you ask a total stranger out on a date ?,abbreviation
What are names of two old men who appear in the serial tv Muppets Show ?,human
Name Dick Tracy 's two children .,human
Where did Honecker rule ?,location
What disease is the second-biggest killer of North Americans ?,entity
What robust U.S. President imported his own instructor after seeing a judo match ?,human
What country was Hitler the chancellor of ?,location
Who won the 1968 California Democratic primary ?,human
Name the scar-faced bounty hunter of The Old West .,human
How do you find out what is allowed to claim as a contibution for income tax purposes ?,abbreviation
Who was Buffalo Bill ?,human
How do they find or choose witnesses to an execution ?,abbreviation
What are the names of all the U.S. Navy aircraft carriers ?,entity
How many layers does a bottle of Yoo-Hoo settle into ?,number
What does Lloyd 's Lutine Bell announce ?,abbreviation
What is the Scotch `` for people who know the difference '' ?,entity
What ever happened to the once popular Yale Lock Company ?,abbreviation
What has been the most common Christian name of U.S. presidents ?,human
What book does Holden Caulfield appear in ?,entity
