. . . a thoughtful what - if for the heart as well as the mind .,positive
a half - assed film .,negative
". . . certainly an entertaining ride , despite many talky , slow scenes .",positive
"- lrb - the kid ' s - rrb - just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",negative
"- lrb - while the last metro - rrb - was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history .",positive
"given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .",negative
"cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good - time shenanigans in welcome perspective .",positive
"white has n ' t developed characters so much as caricatures , one - dimensional buffoons that get him a few laughs but nothing else .",negative
viveka seldahl and sven wollter will touch you to the core in a film you will never forget - - that you should never forget .,positive
overall the film feels like a low - budget tv pilot that could not find a buyer to play it on the tube .,negative
one of the most slyly exquisite anti - adult movies ever made .,positive
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,negative
the dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen .,positive
"i ' m sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap clich [UNK] .",negative
that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .,positive
"it ' s leaden and predictable , and laughs are lacking .",negative
"as a first - time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .",positive
"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas .",negative
"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame .",positive
"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness .",negative
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .,positive
i do n ' t think most of the people who loved the 1989 paradiso will prefer this new version .,negative
"berry ' s saucy , full - bodied performance gives this aging series a much needed kick , making ` ` die another day ' ' one of the most entertaining bonds in years",positive
"call me a cold - hearted curmudgeon for not being able to enjoy a mindless action movie , but i believe a movie can be mindless without being the peak of all things insipid .",negative
"all of it works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",positive
"instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story ' s emotional thrust .",negative
the strength of the film lies in its two central performances by sven wollter as the stricken composer and viveka seldahl as his desperate violinist wife .,positive
eerily accurate depiction of depression .,negative
"how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .",positive
"this is very much of a mixed bag , with enough negatives to outweigh the positives .",negative
one of the greatest films i ' ve ever seen .,positive
but it was n ' t .,negative
"successfully blended satire , high camp and yet another sexual taboo into a really funny movie .",positive
. . . built on the premise that middle - class arkansas consists of monster truck - loving good ol ' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids .,negative
a tour de force of modern cinema .,positive
something has been lost in the translation . . . another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise .,negative
"poetic , heartbreaking .",positive
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",negative
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",positive
"despite auteuil ' s performance , it ' s a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",negative
a harrowing account of a psychological breakdown .,positive
to say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor .,negative
"often likable , but just as often it ' s meandering , low on energy , and too eager to be quirky at moments when a little old - fashioned storytelling would come in handy .",positive
this is a film tailor - made for those who when they were in high school would choose the cliff - notes over reading a full - length classic .,negative
"while cherish does n ' t completely survive its tonal transformation from dark comedy to suspense thriller , it ' s got just enough charm and appealing character quirks to forgive that still serious problem .",positive
"when not wallowing in its characters ' frustrations , the movie is busy contriving false , sitcom - worthy solutions to their problems .",negative
writer \ / director m . night shyamalan ' s ability to pull together easily accessible stories that resonate with profundity is undeniable .,positive
idiotic and ugly .,negative
well - made but mush - hearted .,positive
"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense .",negative
a gem of a movie .,positive
"sunk by way too much indulgence of scene - chewing , teeth - gnashing actorliness .",negative
a portrait of hell so shattering it ' s impossible to shake .,positive
the action clich [UNK] s just pile up .,negative
a straight - shooting family film which awards animals the respect they ' ve rarely been given .,positive
"while it is interesting to witness the conflict from the palestinian side , longley ' s film lacks balance . . . and fails to put the struggle into meaningful historical context .",negative
"wo n ' t be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world ' s best actors , daniel auteuil , have a whale of a good time .",positive
"after several scenes of this tacky nonsense , you ' ll be wistful for the testosterone - charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal - mart budget .",negative
"birthday girl does n ' t try to surprise us with plot twists , but rather seems to enjoy its own transparency .",positive
"a few hours after you ' ve seen it , you forget you ' ve been to the movies .",negative
"maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",positive
the young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient .,negative
there ' s so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles .,positive
"starts out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter .",negative
