"also , the touchpad seems to be waterproof to some degree",positive
"so i took out the battery and put it back in again , only to find that it would not work",negative
this is the fourth version of systemworks and the second version of internet security that i have used and it has always been a favorite,positive
it has a few inconveniences one is that the songs do not automatically play one after another like on a cd,negative
i ' ve had this phone for almost a year now and it has been nothing but great to use,positive
"3 the picture editing software it came with is adequate , but not very robust",negative
i felt better with this one since it had the shuffle feature and i ' m not too keen on www ipod ' s dirty secret com,positive
"well , within 45 days the video output quit working ( both rca optic )",negative
"i still give the ipod five stars , though , as it could have been something i did incorrectly during the install ( though i did follow the onscreen prompts ) so i ' ll give apple the benefit of the doubt",positive
i find the lack of entertaining games on this phone quite disturbing,negative
the extended zoom range and faster lense put it at the top of it ' s class,positive
"2 the camera is so small that when you attach some lenses i have the 19mm wide angle wc e 68 , the optical viewfinder is partially obscured",negative
i guess the two antennae help with that besides making it look cooler,positive
"of course , if you try to reach symantec customer service you get useless automated systems unless you want to pay 30 per incident",negative
"i did not conduct a rigorous test , but just took some identical shots in identical lighting with both cameras , and the canon won hands down",positive
"i ' ve attempted to connect this unit to several different tvs , using a multitude of connection methods , and i still can ' t get a video signal from the machine",negative
"while i ' m not too keen on their customer service ( none of the products i have from creative have given me issues ) , i can definitely recommend the zen micro for the simple fact that it does exactly what it is supposed to do and more without needing any of the extra hype except word of mouth",positive
cons difficult to open to change bag twice my bags caught on a sharp edge inside and snagged as i was pulling out leaving dirty diapers all over the floor,negative
we keep the diaper champ in our daughter ' s nursery and her room definitely does not smell like dirty diapers,positive
"even when i set it to low , it ' s still very hard for me to adjust the player to where and what i want it to do",negative
the sound is excellent as one would suspect from a creative product,positive
is not as intuitive as i would like,negative
the ! sound quality is great,positive
"unfortunately , the player would not read any of my region one dvds even though they were not damaged in any way",negative
it ' s good,positive
"styling ergonomics the keys are small , which generally doesn ' t bother me if they are spaced because i can employ a little ' braille , ' but the keys run into each other , so careful attn must be paid when dialing",negative
picture quality ' s great for still and video with sound,positive
"the only downside i have found with this phone is that it is a bit slow to react , meaning when i push the contacts button , it takes a while to load , this is true for almost all the menus and programs on the phone",negative
first i ' ll start off by saying that this players hardware is pretty good,positive
i tried to make sense of the file transfer program and just got more confused,negative
i have a hard time using other phones with smaller screens ! ! !,positive
"the on off button feels somewhat flimsy , and has an awkward , tiny little lock out button that needs to be depressed to turn on the camera",negative
"8 ) creative mediasource , although not as sleek looking as windows media player , is effective in organizing your collection and is linked to a good cb service ( gracenotes )",positive
the only thing missing is an option to adjust the balance,negative
"it is just a tad small to hold to your ear with your shoulder , but that is solved with the very comfortable handsfree ear piece which is included",positive
"unfortunately , linksys does not write the best documentation",negative
the battery recharges raul fast and the recharger thingy that comes with is real nice,positive
"the setup process for the nomad is infuriating , and the interface with the player is sub par",negative
the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit,positive
"namely , it wouldnt sync",negative
the macro works great for medical photographs and the auto mode is terrific for point and shoot,positive
"the build quality shows why its so cheap small scratches on the base plate , something that you would n ' t see on a sony and an overall plastic feel",negative
"the camera does a great job with exposure and prints made with my professional printer looks great ( not as good as prints from my pro digital camera , but still very good )",positive
"the touchpad is annoying sometimes ( give me the click wheel and pres sable buttons any day ) , but not at all as difficult to get over as other people are saying",negative
they also sound excellent compared to other earbuds including retail sets like panasonic ' s and sennheisers,positive
main dial is not backlit,negative
"connect the player to your computer ( via usb ) , open up mediasource , and you can listen to your stored mp3s as they stream directly from the xtra !",positive
the flash is very weak,negative
"all and all , i am extremely pleased with this camera",positive
i took it out one day and the lcd was not working,negative
"it uses the extend able mmc memory , it is perfect for storing videos , pictures and mp3s",positive
not so nice things a bit too much weight and power for easy handheld use spindle lock makes for awkward bit changing ( outside of a table ) the 1 4 chuck sleeve requires much tightening to keep bits from slipping,negative
you need to know absolutely nothing about setting up the network,positive
"3 ) the lack of an intermediate resolution setting , as other reviewers have suggested , is a problem , but that problem is meaningless with a larger compactflash memory card",negative
3 the nokia 6600 has a brilliant java interface,positive
i also did n ' t like the way it displayed information way down into the screen when you are in zoom mode,negative
"i like to take pictures when i go out at night and perhaps some people would complain that noise levels are high at higher iso ' s but i don ' t really care that much , i think it gives the pictures a certain real life quality",positive
"what i dont like nothing much except headphones , belt clip design",negative
they look fantastic,positive
3 mediasource is an application with serious user interface flaws,negative
6 play game boy color games on it with go boy,positive
the only main drawback is the fact that the voice dialing system is kinda picky,negative
applications it has lots of applications and they work very well when you eventually find where they are and they finally open,positive
i was using a motorola t720i with verizon and i had alot of dropped calls and i had troubles syncing data,negative
